-9.5;1536.73
-9;1220.5
-8.5;955.922
-8;737
-7.5;558.109
-7;414
-6.5;299.797
-6;211
-5.5;143.484
-5;93.5
-4.5;57.6719
-4;33
-3.5;16.8594
-3;7
-2.5;1.54688
-2;-1
-1.5;-1.76562
-1;-1.5
-0.5;-0.578125
0;1
0.5;3.60938
1;8
1.5;15.2969
2;27
2.5;44.9844
3;71.5
3.5;109.172
4;161
4.5;230.359
5;321
5.5;437.047
6;583
6.5;763.734
7;984.5
7.5;1250.92
8;1569
8.5;1945.11
9;2386
9.5;2898.8
10;3491
